movieId,title,genres,overview_clean,original_language,vote_average
63,Twelve Monkeys,Science Fiction Thriller Mystery,year convict james cole reluctantly volunteers sent back time discover origin deadly virus wiped out nearly earths population forced survivors underground communities cole mistakenly sent instead hes arrested locked mental hospital meets psychiatrist kathryn railly patient jeffrey goines son famous virus expert hold key mysterious rogue group army monkeys thought responsible unleashing killer disease,en,7.4
9598,Babe,Fantasy Drama Comedy Family,babe little pig doesnt quite know place world bunch odd friends like ferdinand duck thinks rooster fly dog calls mom babe realizes makings become greatest sheep pig time farmer hogget knows help sheep dogs babe learns pig anything wants,en,6.0
47018,Carrington,History Drama Romance,story relationship painter dora carrington author lytton strachey world war one england cottages countryside although platonic due stracheys homosexuality relationship nevertheless deep complicated one carrington develop physical relationship soldier ralph partridge strachey able welcome friend although partridge remained somewhat uneasy much stracheys lifestyle sexual orientation fact conscientious objector,en,6.4
687,Dead Man Walking,Drama,justice drama based true story man death row last days forms strong relationship nun teaches forgiveness gives spirituality accompanies execution susan sarandon won oscar best female actress convincing portrayal sister helen prejean,en,7.3
139405,Across the Sea of Time,Adventure History Drama Family,young russian boy thomas minton travels new york passenger russian freighter close ellis island gets off thus starts journey america same way immigrants former times thomas searching family one ancestors emigrated decades ago sent letter home together sample new profession dphotography boy follows relatives traces counterchecking old dphotographs new york using antique viewer same places look today way audience gets see big apple former times well today,en,3.5
33689,It Takes Two,Comedy Family Romance,identical yearolds different backgrounds orphaned amanda wealthy alyssa meet summer camp decide switch places play matchmaker alyssas dad roger kind social worker cares amanda,en,6.1
9603,Clueless,Comedy Drama Romance,shallow rich socially successful cher top beverly hills high schools pecking scale seeing herself matchmaker cher first coaxes two teachers dating emboldened success decides give hopelessly klutzy new student tai makeover tai becomes popular cher realizes disapproving exstepbrother right misguided falls,en,6.9
34615,"Cry, the Beloved Country",Drama,southafrican preacher goes search wayward son committed crime big city,en,6.7
31174,Richard III,Drama War,shakespeares play transplanted setting,en,6.9
11443,Dead Presidents,Action Crime Drama History,depicts heist old bills retired circulation destined government money burn however broadly addresses issues black americans involvement vietnam war subsequent disillusionment progress social issues civil rights back home united states during,en,6.6
35196,Restoration,Drama Romance,aspiring young physician robert merivel found himself service king charles saves life someone close king merivel joins kings court lives high life provided someone position merivel ordered marry kings mistress order divert queens suspicions given one order king fall love situation worsens merivel finds himself love new wife eventually king finds out relieves merivel position wealth fall grace leaves merivel first started through travels reunions old friend rediscovers love true medicine really means physician,en,6.3
9312,Mortal Kombat,Action Fantasy,nine generations evil sorcerer victorious handtohand battle against mortal enemies wins tenth mortal kombat tournament desolation evil reign multiverse forever save earth three warriors overcome seemingly insurmountable odds own inner demons superhuman foes actionadventure movie based one popular video games time,en,5.4
577,To Die For,Fantasy Drama Comedy Thriller,susan wants work television therefore anything takes even means killing husband dark comedy independent director gus van sant brilliant nicole kidman leading role,en,6.7
11861,How To Make An American Quilt,Drama Romance,soontobewed graduate student finn dodd develops cold feet suspects fiancé cheating order clear head finn visits grandmother great aunt glady joe cleary grasse calif finn learns glady joe members group passionate quilters course visit regaled tales love life women collected rich experiences much wisdom,en,6.5
807,Se7en,Crime Mystery Thriller,two homicide detectives desperate hunt serial killer whose crimes based seven deadly sins dark haunting film takes viewers tortured remains one victim next seasoned det sommerset researches sin effort get inside killers mind while novice partner mills scoffs efforts unravel case,en,8.1
10530,Pocahontas,Adventure Animation Drama Family,history comes gloriously life disneys epic animated tale love adventure new world pocahontas native american woman whose father arranged marry villages best warrior vision tells change coming soon comes face face form capt john smith,en,6.7
8391,When Night Is Falling,Drama Romance,prudish woman working tenure literacy professor large urban university finds herself strangely attracted freespirited liberal woman works local carnival comes town,en,5.9
629,The Usual Suspects,Drama Crime Thriller,held interrogation room verbal kint attempts convince feds mythic crime lord keyser soze only exists responsible drawing four partners multimillion dollar heist ended explosion san pedro harbor leaving survivors verbal lures interrogators incredible story crime lords almost supernatural prowess,en,8.1
117164,Guardian Angel,Action Thriller Drama,detective turned bodyguard cynthia mckay cynthia rothrock hired psychotic icy seductress nina lindell lydie denier same woman killed mckays lover months earlier vendetta heart mckay accompanies flamboyantly playful womanizer through glamourous world superrich protector unique role reversal woman protecting man another woman erupting deadly triangle passion suspense action,en,6.3
11448,Mighty Aphrodite,Comedy Romance,lenny wife amanda adopt baby lenny realizes son genius becomes obsessed finding boys biological mother hopes brilliant learns maxs mother linda ash kindhearted prostitute porn star lenny determined reform immoral lifestyle greek chorus chimes relate plot greek mythology quirky comedy,en,6.7
49133,Lamerica,Drama Foreign,fiore italian conman arrives post communist albania gino young apprentice set shoe factory never open con requires native albanian designate spiro impoverished confused former political prisoner chairman board fiore returns italy get government funds project spiro unexpectedly disappears gino sets out journey find search leads discover spiros tragic personal history witness albanian poverty firsthand,it,7.7
26441,The Big Green,Action Adventure Comedy Family,depressed texas town british foreign exchange teacher anna attempts inject life hopeless kids introducing soccer theyre terrible first anna footballhero assistant whip shape work overtime pair help kids build selfesteem get involved solving family squabbles,en,5.2
97406,Georgia,Drama,sadie looks older sister georgia successful folk singer whos happily married children cant break out barband circuit hit big time desperately covets part due attraction drugs booze own unwise choice men finally though sadies achilles heel rough unlovely voice different sisters crowdpleasing singing,en,6.1
9089,Home for the Holidays,Comedy Drama Romance,losing job making out soon exboss finding out daughter plans spend thanksgiving boyfriend claudia larson face spending holiday family wonders survive crazy antics,en,6.3
11010,The Postman,Comedy Drama Romance,simple italian postman learns love poetry while delivering mail famous poet uses woo local beauty beatrice,it,7.6
99040,The Confessional,Thriller Drama Mystery,year quebec city rachel unmarried pregnant works church filled shame unburdens guilt young priest confidentiality confessional present year pierre lamontagne returned quebec attend fathers funeral meets adopted brother marc begun questioning identity embarked quest roots lead quebec past present converge complex web intrigue answer mystery lies,fr,6.5
11359,The Indian in the Cupboard,Adventure Family Fantasy,nineyearold boy gets plastic indian cupboard birthday finds himself involved adventure indian comes life befriends,en,5.9
17182,Eye for an Eye,Drama Thriller,fire brimstone time grieving mother karen mccann takes justice own hands kangaroo court los angeles fails convict robert doob monster raped murdered yearold daughter,en,5.8
2054,Mr. Holland's Opus,Music Drama Family,passionate musician glenn holland takes day job high school music teacher convinced small obstacle road true calling writing historic opus decades roll composition unwritten generations students inspired through teaching holland redefine lifes purpose,en,6.9
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,ashtray shawn wayans moves south central live father appears same age grandmother likes talk tough smoke reefer falls gangbanging cousin loc dog marlon wayans along requisite pistols uzi carries thermonuclear warhead selfdefense ashtray able keep living straight life,en,6.2
19760,Two If by Sea,Comedy Romance,frank obrien petty thief yearlong girlfriend roz want put end unsteady lifestyle last job involves stealing valuable painting frank takes roz island coast new england wants sell painting hopes sagging relationship get positive push back everything goes planned,en,4.5
9536,Bio-Dome,Comedy,bud doyle two losers doing nothing lives girlfriends actively involved saving environment two friends couldnt care less saving earth one day group scientists begin mission live inside biodome year without outside contact bud doyle mistakenly become part project themselves,en,4.4
11525,Lawnmower Man 2: Beyond Cyberspace,Action Science Fiction,jobe resuscitated jonathan walker wants jobe create special computer chip connect computers world one network walker control use walker doesnt realize group teenage hackers out stop plan,en,2.8
40628,Two Bits,Drama Family,hot summer day south philly year old gennaro lives widowed mom ailing grandpa sits outside holding tight last quarter hes promised gennaro gennaro like buy ticket plush new movie theater grandpas ready pass quarter pass final reward unfinished business woman past enlists gennaro act emissary,en,5.4
4482,French Twist,Comedy Romance,learning husbands infidelities housewife invites itinerant lesbian move none lives ever same,fr,6.0
10634,Friday,Comedy,craig smokey two guys los angeles hanging out porch friday afternoon smoking drinking looking something,en,7.0
755,From Dusk Till Dawn,Horror Action Thriller Crime,seth gecko younger brother richard run bloody bank robbery texas escape across border mexico homefree next morning pay off local kingpin survive dusk till dawn rendezvous point turns out hell strip joint,en,6.9
11859,Fair Game,Action Thriller Romance,max kirkpatrick cop protects kate mcquean civil law attorney renegade kgb team out terminate,en,4.1
28387,Kicking and Screaming,Comedy Drama Romance,college graduation grovers girlfriend jane tells shes moving prague study writing grover declines accompany deciding instead move several friends cant quite work inertia escape universitys pull nobody wants make big decisions radically alter life yet none wants end like chet professional student tends bar tenth year university studies,en,7.0
48750,Les Miserables,Drama History,france during world war poor illiterate man henri fortin jeanpaul belmondo introduced victor hugos classic novel les misérables begins see parallels book own life,fr,6.6
20927,Bed of Roses,Drama Romance,seeds love planted lisa highpowered investment banker receives flowers secret admirer fairytale fantasies clash workaholic ways soon find out sometimes harder seems love conquer,en,5.1
36929,Big Bully,Comedy Family,writer returns hometown faces childhood nemesis whose life ultimately ruined only bully wants relive painful past torturing,en,3.9
9102,Screamers,Horror Science Fiction,sirius year distant mining planet ravaged decade war scientists created perfect weapon bladewielding selfreplicating race killing devices known screamers designed one purpose only hunt down destroy enemy life forms,en,6.1
124626,Nico Icon,Documentary,look many lives christa päffgen otherwise known nico cutie german mädchen first supermodels glamorous diva velvet underground cult item junkie hag many faces same woman realize couldnt bring herself care enough live,en,7.3
27526,The Crossing Guard,Drama Thriller,daughter died hit run freddy gale waited six years john booth man responsible released prison day release gale visits booth announces kill one week booth uses time try make peace himself entourage even finds romance gale whose life spiraling down because obsession towards booth bring himself edge sanity end week men find themselves collision course,en,6.1
9623,The Juror,Drama Thriller,gangster boss trial murder mob thug known teacher tells annie laird talk fellow jurors notguilty verdict implying hell kill son oliver fails manages becomes clear mobsters want silence good sends oliver abroad tries gather evidence plot against setting final showdown,en,5.5
46785,The White Balloon,Family Drama,several people try take advantage little girls innocence hustle money mom gave buy goldfish,fa,7.5
400,Things to Do in Denver When You're Dead,Drama Crime,mafia film tarantino style starstudded cast jimmys saint gangster career finally ended yet now finds self doing favors wise godfather known man plan,en,6.7
880,Antonia's Line,Drama Comedy,world war antonia daughter danielle back dutch hometown antonias late mother bestowed small farm upon antonia settles down joins tightlyknit unusual community around include quirky friend crooked finger wouldbe suitor bas eventually antonia granddaughter greatgranddaughter help create strong family empowered women,nl,7.2
146599,Once Upon a Time... When We Were Colored,Romance Drama,film relates story tightly connected afroamerican community informally called colored town inhabitants live depend world racist oppression everywhere told boy called cliff spent childhood despite see life community joys sorrows live while others decide leave better life north remaining things come serious situation one prominent businessman muscled out white competitor using racist intimidation response community make decision whether submit meekly like always finally fight rights,en,4.5
8447,Angels and Insects,Drama Romance,victorian england wealthy patriarch sir harald alabaster invites impoverished biologist william adamson home william tries continue work distracted alabasters seductive daughter eugenia william eugenia begin torrid romance couple become closer young scientist begins realize dark disturbing things happening behind closed doors alabaster manor,en,6.3
10534,White Squall,Action Drama,teenage boys discover discipline camaraderie illfated sailing voyage,en,6.3
17414,Dunston Checks In,Adventure Comedy Family,hotel manager robert grant forced boss postpone family vacation hotel critic checks trouble critic really villainous jewel thief orangutan assistant named dunston dunston gets loose tries escape life crime aided roberts sons havoc hijinks lots laughs abound,en,5.1
13997,Black Sheep,Comedy,dignified albert donnelly runs governor team moves keep slowwitted klutzy younger brother mike out eye media babysit mike campaign assigns sarcastic steve gets experience lifetime tries take mike out town during election,en,6.0
2086,Nick of Time,Crime Drama Thriller,gene watson public accountant arrives train union station los angeles accompanied yearold daughter lynn because ordinary looks approached pair sinister people named smith jones,en,6.1
61548,The Journey of August King,Drama,journey august king multidimensional drama north carolina farmer august king widower way home year selling produce purchasing stock goods need survive winter journey comes upon runaway slave young woman august king decide violate law help slave freedom else leave hunted down ultimately returned slave owner,en,6.7
9095,Mary Reilly,Drama Horror Thriller Romance,housemaid falls love jekyll darkly mysterious counterpart hyde,en,5.7
12158,Vampire in Brooklyn,Comedy Horror Romance,maximillian lone survivor race vampires comes brooklyn search way live past next full moon ticket survival rita nypd detective doesnt know shes half vampire maximillian whatevers necessary put spell,en,4.5
9283,Beautiful Girls,Comedy Drama Romance,during snowy winter small fictional town knights ridge massachusetts group lifelong buddies hang out drink struggle connect women affect decisions dreams desires,en,6.6
9208,Broken Arrow,Action Adventure Drama Thriller,rogue stealthfighter pilot vic deakins deliberately drops off radar while maneuvers air force ends two stolen nuclear warheads deakinss copilot riley hale militarys only hope getting back traversing deserted canyons utah hale teams park ranger terry carmichael put deakins back box,en,5.7
40154,A Midwinter's Tale,Comedy,out work actor joe volunteers help try save sisters local church community putting christmas production hamlet somewhat against advice agent margaretta cast assembles still available even christmas prepared profit sharing basis get paid anything cannot expect get cream cream although bring own problems foibles along something bigger starts emerge perhaps aptly named village hope,en,7.5
406,La Haine,Drama,aimlessly whiling away days concrete environs deadend suburbia vinz hubert said jew african arab give human faces frances immigrant populations bristling resentment social marginalization slowly simmering until reaches climactic boiling point haine means hate,fr,7.9
45549,Shopping,Action Adventure Drama Science Fiction Thriller,dark hip urban story barren anonymous city underclass sport choice ramraiding exciting game stolen cars driven through shop windows aid largescale looting police arrive tommy business billy labour love competition tommy billy grows fierce stakes become higher shopping trips increasingly risky,en,5.6
63076,Heidi Fleiss: Hollywood Madam,Documentary,documentary crew bbc arrives intent interviewing heidi fleiss year arrest running brothel trial several months elapse interview crew searches anyone wholl talk young woman two people lot say camera retired madam named alex fleiss worked fleisss onetime boyfriend ivan nagy introduced alex alex nagy dont like crew shuttles said said finally interview fleiss spend time reciting alex nagy say asking reaction,en,6.8
11062,City Hall,Drama Thriller,accidental shooting boy new york leads investigation deputy mayor unexpectedly farreaching consequences,en,6.0
13685,Bottle Rocket,Comedy Crime Drama,upon release mental hospital following nervous breakdown directionless anthony joins friend dignan seems far less sane former dignan hatched hairbrained scheme asyetunspecified crime spree somehow involves former boss supposedly legendary henry,en,6.8
47475,Mr. Wrong,Comedy Romance,single lonely woman finds seemingly perfect man date soon regrets deranged possessive personality emerges worst still cannot convince anyone else jekyllhyde true nature,en,3.3
2045,Unforgettable,Drama Mystery Science Fiction Thriller,ray liotta stars medical examiner acquitted wifes murder many still question innocence obsessed finding wifes killer possible solution presents itself experimental serum designed neurobiology linda fiorentino ability transfer memories one person another without consequences liotta driven solve case injects himself serum bringing closer closer finding killer bringing closer death,en,5.3
9614,Happy Gilmore,Comedy,failed hockey playerturnedgolf whiz happy gilmore whose unconventional approach antics grass courts ire rival shooter mcgavin determined win pga tournament save grannys house prize money meanwhile attractive tour publicist tries soften happys image,en,6.5
688,The Bridges of Madison County,Drama Romance,photographer robert kincaid wanders life housewife francesca johnson four days,en,7.3
11907,Nobody Loves Me,Drama Comedy Family,overview found,de,5.1
10874,Muppet Treasure Island,Action Comedy Music Family Adventure,telling story flints last journey young jim hawkins billy bones heart attack dies jim friends attacked pirates gang escapes town hire out boat crew find hidden treasure revealed bones died voyage across seas soon find out everyone board trusted,en,6.5
89333,Catwalk,Documentary,documentary following christy turlington models during spring fashion week milan paris new york,en,7.0
96357,Headless Body in Topless Bar,Crime,excon holds group people hostage topless bar,en,0.0
197,Braveheart,Action Drama History War,enraged slaughter murron new bride childhood love scottish warrior william wallace slays platoon local english lords soldiers leads village revolt eventually entire country rise against english rule,en,7.7
103,Taxi Driver,Crime Drama,mentally unstable vietnam war veteran works nighttime taxi driver new york city perceived decadence sleaze feeds urge violent action attempting save preadolescent prostitute process,en,8.1
33542,Rumble in the Bronx,Crime Action Comedy Thriller,keong comes hong kong visit new york uncles wedding uncle runs market bronx keong offers help out while uncle honeymoon during stay bronx keong befriends neighbor kid beats neighborhood thugs cause problems market one petty thugs local gang stumbles criminal situation way head,cn,6.5
43566,Before and After,Drama Thriller,two parents deal effects son accused murdering girlfriend,en,5.8
71754,Margaret's Museum,Drama,town half men die down coalpit margaret macneil quite happy single small cape breton island town until meets neil currie charming sincere bagpipeplaying gaelicspeaking dishwasher matter cant avoid spectre pit forever,en,7.5
43612,Happiness Is in the Field,Comedy,francis boss small plumbing supply company harassed tax collectors striking employees impossible wife daughter only joy sharing lunch friend gerard show called shows woman gers searching husband disappeared years ago lost husband looks like identical twin francis,en,7.0
51352,Anne Frank Remembered,Documentary Drama Foreign,using previously unreleased archival material addition contemporary interviews academy awardwinning documentary tells story frank family presents first fullyrounded portrait brash freespirited daughter anne perhaps worlds famous victim holocaust written dawn barclift,en,7.3
16934,The Young Poisoner's Handbook,Comedy Crime Drama,sinister tale genius gone wrong young poisoners handbook chronicles young mans descent madness against absurd backdrop suburban english life hugh oconor plays graham young schoolboy london suburbs whose deadly obsession toxic substances causes dabble experimental murder,en,6.9
10324,If Lucy Fell,Comedy Romance,joe lucy roommates best friends lucy whose love life embarrassingly dull convinces joe infatuated neighbor hes never met dont stable romances within month jump off brooklyn bridge,en,5.4
78406,Steal Big Steal Little,Comedy Drama,ruben robby twin brothers adopted mona one wealthiest eccentric women santa barbara ruben devoted mona robby devoted money mona leaves fortune estate ruben starts battle brothers soon leads madness mayhem even attempted murder rubens side lou perilli exchicago cop used car dealer knows law get around robbys side ruthless businessman reed tyler out turn swift profit monas property walking shifty line eddie agopian family lawyer doesnt care side wins long hes winners side whether theyre stealing big stealing little theyre stealing hilarious comedy greed power brotherly love,en,5.1
55731,Race the Sun,Action Adventure Comedy Drama Family,bunch high school misfits hawaii introduced new teacher attend science fair draw inspiration build own solar car win trip compete world solar challenge australia,en,5.2
32119,The Boys of St. Vincent,Drama,true story boys sexually abused orphanage ran religious community newfoundland,en,7.0
11066,Boomerang,Comedy Romance,marcus successful advertising executive woos beds women almost company merger finds new boss ravishing jacqueline treating exactly same way completely traumatised work goes badly downhill,en,5.4
11104,Chungking Express,Drama Comedy Romance,day cop buys pineapple expiration date symbolizing day hell get lost love hes got eye mysterious woman blond wig oblivious fact shes drug dealer cop distraught heartbreak breakup drops spare set keys local cafe waitress lets herself apartment spruces life,cn,7.9
37975,The Star Maker,Drama Romance,adventures deceptions photographer travels through small villages sicily pretending working big film studios rome,it,6.8
2074,Flirting with Disaster,Comedy Romance,adopted child new father mel colpin ben stiller decides cannot name son until knows birth parents determines make crosscountry quest find accompanied wife nancy patricia arquette inept yet gorgeous adoption agent tina tea leoni departs epic road trip quickly devolves farce mistaken identities wrong turns overzealous lovestruck atf agents josh brolin richard jenkins,en,6.3
27793,The Neverending Story III: Escape from Fantasia,Fantasy,young boy restore order group bullies steal magical book acts portal earth imaginary world fantasia,en,4.4
44284,The Silences of the Palace,Drama,death prince brings young woman back palace born servitude lingering legacy harem brought light behind frosted windows velvet curtains,ar,4.3
110972,Pie in the Sky,Comedy Romance,pie sky american romantic comedy film young man obsessed traffic gridlock falls love avantgarde dancer,en,7.0
32622,Angela,Comedy Drama,ten year old girl named angela leads six year old sister ellie through various regimens purification attempt rid themselves evil believes cause mothers mental illness precocious say least angela visions lucifer coming take sister away one remedies remain within circle dolls toys until see vision virgin mary come such thinking only lead ending befitting own mental state,en,5.6
73067,Frankie Starlight,Drama Romance War,quirky story young boys adventures growing stunningly beautiful mother two different men love,it,5.4
11863,Jade,Action Thriller Mystery Romance,someone nasty hatchet job san fransisco big noise assistant takes charge investigation through web blackmail prostitution involving governor old lover law man emerges prime suspect deal personal feelings well case,en,5.1
55475,Nueba Yol,Comedy Drama Romance,balbuena genial illegal immigrant makes way new york city take bite out big apple hopes finding better life soon begin fade balbuena encounters one obstacle another hardscrabble uncaring metropolis,es,5.5
124636,Sonic Outlaws,Music Documentary,within days release negativlands clever parody casey kasem recording industry giant island records descended upon band battery lawyers intent erasing piece history rock music craig tribulation baldwin follows intellectual property controversies across contemporary arts scene playful ironic cutandpaste collageessay surveys prospects electronic folk culture midst increasingly commodified corporate media landscape,en,0.0
9101,Down Periscope,Comedy,bumbling navy lieutenant tom dodge given one last chance clean record admiral graham nemesis assigns dodge stingray submarine barely keep afloat add insult injury stingray enemy flagship upcoming war games make matters even worse dodges crew band idiots even incompetent,en,5.6
123360,From the Journals of Jean Seberg,Documentary,mark rappaports creative biopic actress jean seberg presented firstperson autobiographical format seberg played mary beth hurt seamlessly interweaves cinema politics american society culture film theory inform entertain move viewer sebergs many marriages well film roles discussed extensively involvement black panther movement subsequent investigation fbi covered notably details french new wave cinema russian expressionist silent films careers jane fonda vanessa redgrave clint eastwood intensively examined much film based conjecture rappaport encourages viewers reexamine ideas women film thoughtprovoking picture,en,6.5
5757,Man of the Year,Comedy,firsttime director dirk shafer penned raucous mockumentary blend fact fiction recreates reign playgirl magazines centerfold year shafer chooses keep fact hes gay secret magazines editors finds himself living ultimate lie incapable giving female readers really want succumb lovers pressures come out closet,en,3.8
39428,The Neon Bible,Drama,while train teenage boy thinks life flamboyant aunt whose friendship acted emotional shield troubled family film evokes haunting quality memory while creating heartfelt portrait boys life rural southern town,en,7.2
9302,Up Close & Personal,Drama Romance,tally atwater dream primetime network newscaster pursues dream nothing ambition raw talent homemade demo tape warren justice brilliant hard edged veteran newsman sees tally talent becomes mentor tallys career takes meteoric rise warren fall love romance results intense revealing television news itself yet breaking story videotaped crisis brings together threatens drive apart,en,5.9
11000,The Birdcage,Comedy,gay cabaret owner drag queen companion agree put false straight front son introduce fiancés rightwing moralistic parents,en,6.7
249882,Virgin Mary,Drama,medjugorje group kids claim virgin mary appeared hill local priest believes spreads word religious tourism blossoms communist government concerned arrests priest,en,7.0
16388,The Brothers McMullen,Comedy Drama Romance,deals lives three irish catholic mcmullen brothers long island new york three months grapple basic ideas values love sex marriage religion family directed written produced starring edward burns,en,6.3
9737,Bad Boys,Action Comedy Crime Thriller,marcus burnett henpecked family man mike lowry footloose fancy free ladies man miami policemen hours reclaim consignment drugs stolen stations nose complicate matters order get assistance sole witness murder pretend,en,6.5
30765,The Amazing Panda Adventure,Action Adventure Drama Family,far home lush bamboo forests china tenyearold ryan tyler help young girl goes wonderful journey rescue baby panda taken poachers,en,5.0
10474,The Basketball Diaries,Drama Crime,film adaptation street tough jim carrolls epistle kaleidoscopic free fall harrowing world drug addiction,en,7.2
22279,An Awfully Big Adventure,Romance Drama Comedy,awfully big adventure drama film theatre company liverpool set based novel same name beryl bainbridge,en,6.0
30157,Amateur,Crime Comedy Drama Thriller,man wakes alley bleeding memory stumbles coffee shop befriended charitable exnun failing attempts write marketable pornography,en,6.5
568,Apollo 13,Drama,true story technical troubles scuttle apollo lunar mission risking lives astronaut jim lovell crew failed journey turning thrilling saga heroism drifting miles earth astronauts work furiously ground crew avert tragedy,en,7.3
11780,Rob Roy,Adventure,highlands scotland rob roy tries lead small town better future borrowing money local nobility buy cattle herd market money stolen rob forced robin hood lifestyle defend family honour,en,6.5
